Ethnicity,Gender,Age,Admitted,Admit_Type,Application_Term,HS_GPA,Old_SAT,New_SAT,ACT,Enrolled,Scholarship_App,FinAid_Applicant,High_School_Percentile,FirstGen_Ind
Black,Female,33.0,Yes,FR,Fall 2021,2.961,,,,No,N,Y,66.0,No
Black,Male,49.0,Yes,FR,Fall 2021,2.553,,,,Yes,N,Y,21.0,Yes
Black,Female,30.0,No,FR,Fall 2021,,690.0,,,No,N,N,,No
White,Female,28.0,No,FR,Fall 2021,3.339,850.0,,,No,N,Y,54.0,No
Hispanic,Male,29.0,No,FR,Fall 2021,,,,,No,N,Y,,No
White,Female,29.0,No,FR,Fall 2021,2.579,,,,No,N,Y,19.0,No
Black,Female,37.0,Yes,FR,Fall 2021,2.567,,,,No,N,Y,66.0,No
Black,Female,26.0,Yes,FR,Fall 2021,3.4912,890.0,,,Yes,N,Y,,Yes
Black,Male,26.0,Yes,FR,Fall 2021,2.536,,,17.0,Yes,N,Y,19.0,Yes
White,Female,24.0,Yes,FR,Fall 2021,2.796,,,,Yes,N,Y,47.0,Yes
Black,Male,27.0,Yes,FR,Fall 2021,2.4314,950.0,,,No,N,N,28.0,No
White,Male,26.0,No,FR,Fall 2021,,750.0,,,No,N,Y,39.0,No
Black,Female,24.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,21.0,No,FR,Fall 2021,,,,19.0,No,N,N,,No
White,Male,24.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Male,22.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Hispanic,Male,24.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Black,Female,25.0,No,FR,Fall 2021,3.161,,,,No,N,N,41.0,No
Black,Male,23.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Male,24.0,No,FR,Fall 2021,2.953,690.0,,,No,N,N,32.0,No
Black,Male,26.0,Yes,FR,Fall 2021,3.1129,,,,No,N,Y,56.0,No
White,Female,23.0,Yes,FR,Fall 2021,3.07,,,22.0,No,N,N,75.0,No
Black,Male,25.0,No,FR,Fall 2021,2.71,,,10.0,No,N,N,,No
Black,Male,43.0,Yes,FR,Fall 2021,,,,,No,N,Y,,No
Hispanic,Male,46.0,No,FR,Fall 2021,2.204,,,,No,N,N,3.0,No
Hispanic,Male,21.0,No,FR,Fall 2021,3.575,,900.0,17.0,No,N,Y,55.0,No
Hispanic,Male,22.0,No,FR,Fall 2021,,,,,No,N,N,,No
White,Male,20.0,Yes,FR,Fall 2021,3.362,,1150.0,,Yes,N,N,,Yes
Black,Male,21.0,Yes,FR,Fall 2021,3.3448,,,,No,N,Y,87.0,No
Black,Male,22.0,Yes,FR,Fall 2021,2.6,,900.0,,Yes,N,Y,24.0,No
Black,Female,21.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Black,Female,18.0,Yes,FR,Fall 2021,3.784,,1020.0,,No,N,Y,89.0,No
Black,Male,20.0,Yes,FR,Fall 2021,3.867,,1080.0,20.0,Yes,N,Y,86.0,Yes
Black,Female,22.0,Yes,FR,Fall 2021,2.88,,880.0,,Yes,N,Y,54.0,Yes
Black,Male,18.0,Yes,FR,Fall 2021,3.114,,,23.0,No,N,Y,,No
White,Male,19.0,Yes,FR,Fall 2021,3.866,,1030.0,,No,N,Y,79.0,No
Black,Male,20.0,Yes,FR,Fall 2021,3.041,,,,Yes,N,Y,71.0,Yes
Unknown,Female,20.0,Yes,FR,Fall 2021,3.438,,1190.0,,Yes,N,Y,58.0,Yes
Black,Male,24.0,Yes,FR,Fall 2021,2.8,,,14.0,Yes,N,Y,67.0,Yes
Black,Male,19.0,No,FR,Fall 2021,3.49,,,,No,N,Y,94.0,No
Black,Male,22.0,No,FR,Fall 2021,2.20968,,,15.0,No,N,Y,11.0,No
Black,Male,21.0,No,FR,Fall 2021,3.48,,990.0,,No,N,N,67.0,No
Hispanic,Female,21.0,Yes,FR,Fall 2021,2.7261,,720.0,,Yes,N,Y,61.0,Yes
Black,Female,21.0,Yes,FR,Fall 2021,3.67,,710.0,,No,N,Y,41.0,No
White,Female,21.0,No,FR,Fall 2021,3.9272,,1210.0,,No,N,Y,90.0,No
Black,Male,20.0,No,FR,Fall 2021,2.1833,,870.0,,No,N,Y,30.0,No
White,Female,21.0,Yes,FR,Fall 2021,3.6775,,,18.0,No,N,N,48.0,No
Asian,Male,17.0,Yes,FR,Fall 2021,3.941,,1490.0,28.0,Yes,N,Y,96.0,No
Asian,Female,19.0,Yes,FR,Fall 2021,3.797,,,,No,N,Y,89.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.344,,1090.0,,Yes,N,Y,43.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.9534,,1030.0,,Yes,N,Y,82.0,Yes
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.9804,,1130.0,,Yes,N,Y,92.0,Yes
White,Male,20.0,Yes,FR,Fall 2021,3.0555,,1050.0,,No,N,Y,27.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.981,,1240.0,23.0,Yes,N,Y,90.0,Yes
White,Female,19.0,Yes,FR,Fall 2021,3.53,,,16.0,Yes,N,Y,54.0,Yes
White,Female,19.0,Yes,FR,Fall 2021,3.63,,900.0,,No,N,Y,46.0,No
Multi-race,Female,18.0,Yes,FR,Fall 2021,3.97,,1030.0,,Yes,N,Y,,No
White,Female,19.0,Yes,FR,Fall 2021,3.9555,,,,Yes,N,Y,95.0,Yes
White,Male,19.0,Yes,FR,Fall 2021,3.8,,,,No,N,Y,,No
White,Male,18.0,Yes,FR,Fall 2021,4.0,,1190.0,27.0,Yes,N,Y,97.0,No
Multi-race,Male,19.0,Yes,FR,Fall 2021,3.629,,,22.0,No,N,Y,87.0,No
Black,Female,19.0,No,FR,Fall 2021,3.08,,940.0,,No,N,Y,68.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.246,,950.0,16.0,Yes,N,Y,72.0,Yes
White,Male,17.0,Yes,FR,Fall 2021,3.365,,1070.0,,Yes,N,Y,60.0,No
White,Male,18.0,Yes,FR,Fall 2021,3.824,,1070.0,24.0,No,N,Y,90.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.1,,1010.0,,Yes,N,Y,72.0,Yes
Asian,Male,19.0,Yes,FR,Fall 2021,3.833,,1120.0,,No,N,Y,95.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.82,,1060.0,,No,N,Y,87.0,No
White,Female,19.0,Yes,FR,Fall 2021,4.0,,,,Yes,N,Y,96.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.645,,,,No,N,Y,82.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,4.0,,,,No,N,Y,98.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.41,,,,No,N,Y,74.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.5879,,,19.0,No,N,Y,86.0,No
Asian,Male,18.0,Yes,FR,Fall 2021,3.333,,1180.0,,No,N,Y,73.0,No
Black,Male,18.0,Yes,FR,Fall 2021,3.593,,,,Yes,N,Y,66.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.018,,970.0,,No,N,N,19.0,No
White,Male,19.0,Yes,FR,Fall 2021,4.0,,1400.0,,Yes,N,Y,,No
Black,Female,20.0,Yes,FR,Fall 2021,2.842,,,14.0,Yes,N,Y,35.0,No
White,Male,19.0,Yes,FR,Fall 2021,,,1210.0,23.0,Yes,N,Y,98.0,Yes
Hispanic,Female,18.0,Yes,FR,Fall 2021,4.0,,1120.0,,Yes,N,Y,100.0,Yes
Black,Female,19.0,Yes,FR,Fall 2021,3.842,,,,No,N,Y,97.0,No
Unknown,Female,18.0,Yes,FR,Fall 2021,3.8056,,1090.0,,Yes,N,Y,98.0,Yes
Unknown,Female,19.0,Yes,FR,Fall 2021,3.594,,890.0,,No,N,Y,78.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.958,,,,No,N,Y,,No
Black,Female,19.0,Yes,FR,Fall 2021,3.73,,,,No,N,Y,87.0,No
Asian,Female,19.0,Yes,FR,Fall 2021,3.938,,1030.0,,Yes,N,Y,90.0,Yes
White,Female,19.0,Yes,FR,Fall 2021,3.529,,,,No,N,Y,87.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.71,,,,Yes,N,Y,,Yes
White,Male,19.0,Yes,FR,Fall 2021,3.7719,,1150.0,,Yes,N,Y,83.0,Yes
White,Male,18.0,Yes,FR,Fall 2021,3.4242,,,,No,N,Y,84.0,No
White,Female,19.0,Yes,FR,Fall 2021,4.0,,,,No,N,Y,,No
Unknown,Male,18.0,Yes,FR,Fall 2021,3.489,,990.0,,No,N,Y,66.0,No
Black,Male,20.0,Yes,FR,Fall 2021,3.2727,,790.0,,No,N,Y,63.0,No
Unknown,Female,18.0,No,FR,Fall 2021,3.948,,990.0,,No,N,N,98.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.98,,1220.0,,Yes,N,Y,95.0,Yes
Unknown,Female,19.0,Yes,FR,Fall 2021,,,1350.0,,Yes,N,Y,99.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,,,1180.0,,No,N,Y,87.0,No
Unknown,Male,17.0,Yes,FR,Fall 2021,3.724,,1210.0,,No,N,Y,91.0,No
White,Female,18.0,Yes,FR,Fall 2021,,,1060.0,,Yes,N,Y,,No
White,Female,18.0,Yes,FR,Fall 2021,,,1130.0,,Yes,N,Y,,Yes
White,Female,18.0,Yes,FR,Fall 2021,3.563,,1100.0,,No,N,N,,No
White,Male,19.0,Yes,FR,Fall 2021,3.94,,1060.0,22.0,Yes,N,Y,88.0,No
Unknown,Male,19.0,Yes,FR,Fall 2021,3.952,,1310.0,,No,N,Y,99.0,No
Unknown,Male,20.0,Yes,FR,Fall 2021,3.658,,1050.0,,No,N,Y,82.0,No
White,Female,18.0,Yes,FR,Fall 2021,4.0,,1330.0,,Yes,N,Y,95.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.571,,1080.0,,No,N,Y,,No
Asian,Female,19.0,Yes,FR,Fall 2021,,,1040.0,20.0,Yes,N,Y,96.0,Yes
White,Male,20.0,Yes,FR,Fall 2021,3.37,,,,No,N,N,51.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.86,,1100.0,24.0,Yes,N,Y,82.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,4.0,,1340.0,,No,N,Y,100.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.417,,,,No,N,Y,,No
White,Male,18.0,Yes,FR,Fall 2021,4.0,,1270.0,,Yes,N,Y,97.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.023,,,26.0,Yes,N,Y,40.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.4103,,,,No,N,Y,,No
White,Male,19.0,Yes,FR,Fall 2021,4.0,,1110.0,,Yes,N,Y,89.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.667,,1100.0,26.0,No,N,N,70.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.053,,1040.0,,No,N,Y,33.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.93,,,,No,N,Y,76.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.881,,990.0,,No,N,N,34.0,No
Hispanic,Female,20.0,Yes,FR,Fall 2021,2.9269,,890.0,,Yes,N,Y,73.0,Yes
White,Female,19.0,Yes,FR,Fall 2021,3.75,,1030.0,,No,N,N,73.0,No
Black,Female,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
White,Male,18.0,Yes,FR,Fall 2021,3.625,,1170.0,,No,N,N,68.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.372,,850.0,,Yes,N,Y,35.0,No
Unknown,Female,19.0,Yes,FR,Fall 2021,3.87,,900.0,,Yes,N,Y,85.0,No
Unknown,Male,18.0,Yes,FR,Fall 2021,,,1050.0,,Yes,N,Y,87.0,Yes
White,Male,19.0,Yes,FR,Fall 2021,3.66667,,1020.0,17.0,No,N,Y,68.0,No
White,Male,18.0,Yes,FR,Fall 2021,3.9069,,1400.0,,Yes,N,Y,90.0,Yes
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.829,,1010.0,,Yes,N,Y,,Yes
White,Male,20.0,Yes,FR,Fall 2021,3.63492,,1050.0,,Yes,N,N,56.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.7907,,,,Yes,N,N,,No
Unknown,Female,18.0,Yes,FR,Fall 2021,3.746,,1390.0,27.0,No,N,Y,,No
White,Male,20.0,Yes,FR,Fall 2021,3.484,,770.0,,No,N,Y,65.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.143,,,19.0,No,N,Y,24.0,No
White,Female,19.0,No,FR,Fall 2021,,,,18.0,No,N,N,,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.55,,,,No,N,Y,73.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.1929,,1080.0,,Yes,N,Y,49.0,Yes
Black,Female,20.0,Yes,FR,Fall 2021,3.661,,980.0,,No,N,Y,84.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.37,,880.0,,Yes,N,Y,80.0,Yes
Black,Female,20.0,No,FR,Fall 2021,2.183,,,,No,N,N,18.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.66,,,,No,N,N,,No
Unknown,Female,98.0,No,FR,Fall 2021,3.744,,1090.0,16.0,No,N,N,93.0,No
Black,Female,19.0,Yes,FR,Fall 2021,4.0,,1130.0,,Yes,N,Y,,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.39,,870.0,,No,N,Y,77.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.692,,,,Yes,N,Y,72.0,No
Black,Male,19.0,Yes,FR,Fall 2021,2.98,,1010.0,,Yes,N,Y,24.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.92,,,19.0,Yes,N,Y,79.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.298,,,,No,N,N,55.0,No
Asian,Male,19.0,Yes,FR,Fall 2021,3.236,,,22.0,Yes,N,N,98.0,No
White,Male,18.0,Yes,FR,Fall 2021,3.706,,1200.0,,No,N,N,,No
White,Female,19.0,No,FR,Fall 2021,3.5,,800.0,,No,N,N,53.0,No
Black,Female,21.0,No,FR,Fall 2021,,,650.0,,No,N,N,,No
White,Male,19.0,Yes,FR,Fall 2021,4.0,,1440.0,,No,N,Y,,No
White,Male,19.0,Yes,FR,Fall 2021,3.978,,920.0,,No,N,Y,87.0,No
Unknown,Female,18.0,Yes,FR,Fall 2021,3.326,,980.0,,No,N,Y,68.0,No
Multi-race,Female,18.0,Yes,FR,Fall 2021,4.0,,1280.0,,No,N,Y,96.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.8837,,,,No,N,Y,99.0,No
